[0.000000] (-) TimerEvent: {}
[0.000334] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000468] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000498] (-) JobUnselected: {'identifier': 'moveit'}
[0.000518] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000535] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000554] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000570] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000586] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000602] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000618] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000634] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000649] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000665] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000681] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000786] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000912] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000984] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001000] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001016] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001032] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.001050] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001066] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001081] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001097] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001112] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001128] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001143] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001159] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001174] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001190] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001213] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001232] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001248] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001286] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001301] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001309] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001317] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001323] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001330] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001337] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001343] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001350] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001356] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001363] (-) JobUnselected: {'identifier': 'my_mobile_manipulator_description'}
[0.001371] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001377] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001384] (-) JobUnselected: {'identifier': 'ur_description'}
[0.001391] (-) EventReactorShutdown: {}
